Neighborhood,Postalcode
High Park North,M6P
High Park-Swansea,M6P  
Highland Creek,M1C
Hillcrest Village,M2H
Humber Bay Etobicoke,M8Y
Humber Bay Shores,M8V
Humber Heights-Westmount,M9P
Humber Summit,M9L
Humber Valley Village,M9A
Humbergate,M9V
Humberlea,M9M
Humbermede,M9M
Humewood-Cedarvale,M6C
India Bazaar,M4L
Ionview,M1K
Island airport,M5V
Islington Avenue,M9B
Islington Village,M9C
Islington-City Centre West,M9C
Jamestown,M9V 
Junction Area,M6P
Keelesdale-Eglinton West,M6E
Keelsdale and Silverthorn,M6M
Kennedy Park,M1K
Kensington Market,M5T 
Kensington-Chinatown,M5T
King and Spadina,M5V
King's Mill Park,M8Y
Kingsview Village,M9R
Kingsview Village-The Westway,M9P
Kingsway Park South East,M8Y
Kingsway Park South West,M8Z 
Kingsway South,M6S
L'Amoreaux,M1W
L'Amoreaux East,M1V
L'Amoreaux West,M1W
Lambton Baby Point,M6S
Lansing-Westgate,M3H
Lawrence Heights,M6A
Lawrence Manor,M6A
Lawrence Manor East,M5M
Lawrence Park ,M4R
Lawrence Park North,M4N
Lawrence Park South,M4N
Leaside,M4G
Leaside-Bennington,M4G
Little Portugal,M6J
Long Branch,M8V
Malvern,M1B
Maple Leaf,M6L
Maple Leaf Park,M6L
Markland Wood,M9C
Martin Grove,M9B
Martin Grove Gardens,M9R
Maryvale,M1R
Milliken,M1V
Mimico,M8V
Mimico NE,M8Y
Mimico NW,M8Z
Mimico South,M8V
Montgomery Road,M8X
Moore Park,M4T
Morningside,M1E
Moss Park,M5A
Mount Dennis,M6M
Mount Olive,M9V
Mount Olive-Silverstone-Jamestown,M9V
Mount Pleasant East,M4Y
Mount Pleasant West,M4Y
New Toronto,M8V
Newtonbrook,M2M
Newtonbrook East,M2M
Newtonbrook West,M2M
Niagara,M5V
North Midtown,M5R 
North Park,M6L
North Riverdale,M4K
North St.James Town,M4X
North Toronto West,M4R
Northwest,M9W
Northwood Park,M3J
O'Connor-Parkview,M4B
Oakridge,M1L
Oakwood Village,M6H
Old Burnhamthorpe,M9C
Old East York,M4B
Old Mill North,M8X
Old Mill South,M8Y
Oriole,M2J
Palmerston-Little Italy,M6G
Park Lane,M8Y
Parkdale,M6R
Parkdale Village,M6K
Parkview Hill,M4B
Parkwoods,M3A
Parkwoods-Donalda,M3A
Pelmo Park-Humberlea,M9M
Playter Estates-Danforth,M4K
Pleasant View,M2J
Port Union,M1C
Princess Gardens,M9B
Princess-Rosethorn,M9A
Queen's Park,M7A
Railway Lands,M5V
Rathnelly,M4V
Reagent Park,M5A
Regent Park,M5A
Rexdale-Kipling,M9W
Richmond,M5H
Richview Gardens,M9R
Riverdale,M4K
Rockcliffe-Smythe,M6N
Roncesvalles,M6R
Rosedale,M4W
Rosedale-Moore Park,M4T
Roselawn,M5N
Rouge,M1B
Rouge Hill,M1C
Royal York South East,M8Y
Royal York South West,M8Z
Runnymede,M6N
Runnymede-Bloor West Village,M6S
Rustic,M6L
Ryerson,M5B
Scarborough Town Centre,M1P
Scarborough Village ,M1J
Silver Hills,M2L
Silverstone,M9V
Six Points,M9C
South Hill,M4V
South Niagara,M5V
South of Bloor,M8Z
South Parkdale,M6R
South Riverdale,M4K
South Steeles,M9V
St. James Town,M4X
St. Phillips,M9R
St. Andrew-Windfields,M2P
Steeles,M9W
Steeles East,M1V
Steeles West,M1W
Stn A PO Boxes,M5W
Stonegate-Queensway,M8Z
Studio District,M4M
Sullivan,M1T
Summerhill East,M4T
Summerhill West,M4V
Sunnylea,M8Y
Swansea,M6S
Tam O Shanter,M1T
Tam O'Shanter,M1T
Tam O'Shanter-Sullivan,M1T
Taylor-Massey,M4B 
The Annex,M5R
The Beaches,M4E
The Beaches West,M4L
The Danforth West,M4K
The Junction North,M6N
The Junction South,M6P
The Kingsway,M8X
The Queensway East,M8Y
The Queensway West,M8Z
Thistletown,M9V
Thistletown-Beaumond Heights,M9V
Thorncliffe Park,M4H
Toronto Dominion Centre,M5K
Toronto Islands,M5J
Trinity,M6J
Trinity-Bellwoods,M5T
Underground City,M5X
Union Station,M5J
University,M5S
University of Toronto,M5S
Upper Rouge,M1X
Upwood Park,M6L
Victoria Hotel,M5L
Victoria Village,M4A
Waterfront Communities-The Island,M5V
West Deane Park,M9B
West Hill,M1E
West Humber Clairville,M9W
Westminster-Branson,M2R
Westmount,M9P
Weston,M9N
Weston-Pellam Park,M6N
Wexford,M1R
Wexford Heights,M1P
Wexford/Maryvale,M1R
Willowdale,M2M
Willowdale East,M2M
Willowdale West,M2R
Willowridge-Martingrove-Richview,M9R
Wilson Heights,M3H
Woburn,M1G
Woodbine Corridor,M4L
Woodbine Gardens,M4B
Woodbine Heights,M4C
Woodbine-Lumsden,M4C
Wychwood,M6G
Yonge-Eglinton,M4P
Yonge-St. Clair,M4V
York Mills,M2L
York Mills West,M2P
York University Heights,M3J
Yorkdale-Glen Park,M6A
Yorkville,M5R
